player1,player2,strat_1,strat_2,balance_code,playerwin
georgedo,eggface,RW,BW,,georgedo
georgedo,eggface,BR,AB,,eggface
georgedo,CalHaribo,AH,BR,,CalHaribo
Sabotage,Ellen,BW,BR,,Ellen
cptKav,Mageofheart,AK,GH,,Mageofheart
georgedo,eggface,BM,BR,,eggface
Gerr,cats,AR,AK,,Gerr
alan,cats,KR,AK,,alan
Gerr,cats,HR,KR,,cats
georgedo,eggface,BG,MW,,eggface
Gerr,cats,AR,AK,,cats
Gerr,probablytom,AR,AR,,Gerr
georgedo,eggface,BG,BR,,eggface
BestWilliam,probablytom,KR,RW,,BestWilliam
Gerr,Jules_217,AH,HK,,Gerr
Jules_217,Ellen,AR,AG,,Jules_217
Jules_217,alan,AH,AR,,Jules_217
Jules_217,alan,HR,HR,,alan
BestWilliam,Ellen,KR,GR,,Ellen
BestWilliam,Ellen,KR,GW,,Ellen
BestWilliam,cptKav,KR,AW,,cptKav
BestWilliam,Ellen,RW,GW,,BestWilliam
alan,Super_Ia,HW,AR,,Super_Ia
BestWilliam,Ellen,RW,RW,,Ellen
Ellen,Gerr,RW,RW,,Gerr
georgedo,eggface,BR,BR,,georgedo
georgedo,Etess,KR,AR,,Etess
georgedo,eggface,GR,AR,,eggface
georgedo,eggface,GR,GR,,eggface
georgedo,eggface,GR,BW,,georgedo
georgedo,eggface,BG,BM,,eggface
cptKav,BestWilliam,GM,RW,,cptKav
georgedo,Etess,BR,AR,,georgedo
georgedo,eggface,BG,MR,,eggface
Etess,Mageofheart,AR,GH,,Mageofheart
georgedo,eggface,BR,BM,,eggface
georgedo,eggface,BG,BK,,georgedo
BestWilliam,Etess,KR,AR,,Etess
alan,Ellen,AR,RW,,Ellen
Ellen,Etess,GR,AR,,Ellen
BestWilliam,CalHaribo,KR,BG,,BestWilliam
Etess,BestWilliam,AR,RW,,Etess
BestWilliam,Etess,RW,AW,,BestWilliam
Ellen,eggface,GW,MR,,eggface
georgedo,eggface,BK,HM,,eggface
Ellen,cptKav,GM,BH,,Ellen
Etess,BestWilliam,RW,HW,,BestWilliam
Jules_217,BestWilliam,AW,RW,,BestWilliam
Marta,Etess,RW,AK,,Etess
probablytom,Marta,MW,AW,,probablytom
Ellen,Etess,GR,AB,,Ellen
georgedo,eggface,BG,GR,,eggface
georgedo,eggface,BW,BM,,eggface
Ellen,georgedo,GR,BG,,georgedo
eggface,Ellen,AG,GM,,Ellen
georgedo,Ellen,BR,GR,,Ellen
georgedo,eggface,BG,HM,,georgedo
CalHaribo,DoctorW,AM,AR,,DoctorW
georgedo,eggface,KR,MR,,georgedo
DoctorW,Gerr,AR,HR,,Gerr
georgedo,eggface,GR,BR,,georgedo
Mageofheart,BestWilliam,GM,RW,,BestWilliam
georgedo,eggface,BR,MR,,eggface
DoctorW,Jules_217,AR,HK,,Jules_217
alan,Marta,HR,AW,,alan
georgedo,Ellen,GR,GW,,georgedo
BestWilliam,cptKav,RW,KR,,BestWilliam
Ellen,Etess,MW,BR,,Ellen
Etess,Mageofheart,AR,GH,,Mageofheart
Etess,Mageofheart,AR,GM,,Mageofheart
Mageofheart,Ellen,GH,GM,,Ellen
Etess,Mageofheart,AR,GH,,Etess
BestWilliam,Ellen,RW,MW,,Ellen
BestWilliam,cptKav,RW,HR,,BestWilliam
cptKav,BestWilliam,HR,MW,,BestWilliam
Etess,creilly2,AR,AR,,Etess
Jules_217,Marta,AB,AB,,Marta
Jules_217,Marta,BH,BH,,Jules_217
Jules_217,alan,AR,AR,,Jules_217
BestWilliam,DoctorW,RW,AR,,BestWilliam
Ellen,CalHaribo,GR,BG,,CalHaribo
Ellen,creilly2,RW,KR,,Ellen
Gerr,cptKav,AR,GM,,Gerr
georgedo,eggface,BR,BG,,eggface
georgedo,BestWilliam,KR,RW,,BestWilliam
Jules_217,DoctorW,BW,HR,,DoctorW
Gerr,cptKav,RW,MW,,cptKav
georgedo,Marta,KR,HW,,georgedo
cats,Gerr,KR,HW,,cats
Luca1802,DoctorW,GM,AR,,DoctorW
sidb,Etess,AR,AR,,Etess
Etess,sidb,AR,AK,,Etess
Luca1802,Ellen,GM,GR,,Luca1802
Ellen,cptKav,GW,BR,,cptKav
BabaG,Etess,AR,AK,,Etess
cptKav,DoctorW,GR,RW,,DoctorW
DoctorW,Mageofheart,AR,GH,,DoctorW
Jules_217,CalHaribo,BM,BR,,Jules_217
Mageofheart,cptKav,GH,GK,,Mageofheart
Mageofheart,cptKav,HM,GM,,Mageofheart
georgedo,eggface,KR,BR,,georgedo
Etess,demander,AB,MR,,Etess
Ellen,cptKav,GR,BG,,cptKav
cptKav,Mageofheart,BW,GH,,Mageofheart
georgedo,eggface,KR,MR,,georgedo
georgedo,eggface,GR,GR,,georgedo
Etess,sidb,AR,AH,,sidb
georgedo,eggface,GK,MR,,eggface
georgedo,eggface,GK,MR,,eggface
georgedo,Ellen,GK,GR,,Ellen
Luca1802,Etess,BG,AR,,Luca1802
cptKav,Mageofheart,BH,GM,,Mageofheart
probablytom,CalHaribo,MR,BW,,probablytom
Gerr,alan,HW,AR,,alan
pool27,Mageofheart,AR,GH,,pool27
grobis,probablytom,AK,AB,,grobis
probablytom,pool27,AB,AR,,probablytom
georgedo,eggface,GK,BG,,eggface
georgedo,probablytom,GK,BR,,probablytom
Etess,Mageofheart,AB,GH,,Etess
charlotte,s_c_bear,AK,HR,,charlotte
apropos0,Etess,KR,AB,,Etess
cptKav,apropos0,AR,AR,,apropos0
DoctorW,sidb,RW,HR,,sidb
probablytom,Beth,GK,KW,,Beth
CalHaribo,sidb,AR,AH,,sidb
georgedo,Ellen,BG,BG,,georgedo
sidb,CalHaribo,AH,KW,,sidb
apropos0,Etess,AH,AB,,Etess
Etess,Gerr,AR,RW,,Gerr
apropos0,Etess,KW,AB,,Etess
Etess,Gerr,AB,RW,,Etess
Etess,apropos0,AB,BW,,apropos0
Mageofheart,apropos0,GH,BM,,apropos0
apropos0,cptKav,RW,GM,,apropos0
pool27,apropos0,AR,AK,,pool27
Gerr,cats,HW,AK,,cats
Ellen,apropos0,RW,MR,,Ellen
Etess,apropos0,AB,BW,,Etess
Sabotage,cptKav,BW,BR,,cptKav
Ellen,Gerr,GR,RW,,Gerr
georgedo,eggface,BG,MR,,eggface
Sabotage,DoctorW,BW,AH,,DoctorW
demander,Super_Ia,MR,AR,,Super_Ia
alan,Gerr,AR,BH,,Gerr
georgedo,probablytom,BG,MW,,probablytom
georgedo,cptKav,BG,BG,,georgedo
CalHaribo,cats,BR,HK,,cats
Ellen,cptKav,RW,BG,,Ellen
georgedo,eggface,BG,MR,,eggface
georgedo,eggface,GK,GR,,georgedo
georgedo,eggface,KR,MR,,eggface
georgedo,Gerr,BG,HR,,Gerr
georgedo,Gerr,MR,RW,,georgedo
CalHaribo,alan,GM,KR,,alan
georgedo,CalHaribo,MR,GR,,georgedo
georgedo,probablytom,MR,BR,,georgedo
CalHaribo,cptKav,AR,BG,,cptKav
georgedo,eggface,MR,AB,,eggface
georgedo,eggface,MR,AB,,eggface
georgedo,eggface,KM,BR,,eggface
georgedo,eggface,GK,GW,,eggface
georgedo,eggface,KR,MR,,eggface
georgedo,eggface,KM,GH,,georgedo
georgedo,eggface,RW,KM,,georgedo
georgedo,eggface,BK,MR,,eggface
georgedo,eggface,KW,AG,,eggface
georgedo,eggface,MW,GW,,georgedo
georgedo,eggface,RW,MR,,eggface
sidb,LewisDyer,AH,AR,,sidb
CalHaribo,Etess,AR,AB,,Etess
sidb,probablytom,AH,RW,,probablytom
probablytom,pool27,BM,AR,,probablytom
sidb,Etess,AH,AB,,Etess
sidb,probablytom,KW,AB,,sidb
cptKav,Etess,MW,AB,,cptKav
LewisDyer,cptKav,AR,AH,,cptKav
sidb,Ellen,AH,RW,,sidb
demander,Ellen,GW,MR,,Ellen
Etess,Gerr,AB,RW,,Gerr
Ellen,Etess,GR,BR,,Ellen
georgedo,Gerr,GM,MW,,Gerr
georgedo,eggface,MR,GW,,eggface
georgedo,eggface,GW,MR,,eggface
eggface,Gerr,BG,RW,,Gerr
georgedo,Gerr,MR,MR,,georgedo
Beth,probablytom,BK,AB,,Beth
Gerr,Ellen,MW,RW,,Gerr
sidb,DoctorW,AH,BR,,DoctorW
sidb,probablytom,BR,AB,,probablytom
cptKav,sidb,BG,AB,,sidb
demander,Ellen,MR,MR,,Ellen
cats,DoctorW,KR,RW,,cats
georgedo,probablytom,MR,MR,,georgedo
probablytom,apropos0,GW,BM,,probablytom
georgedo,cptKav,MW,AK,,georgedo
Gerr,probablytom,MR,MR,,probablytom
georgedo,probablytom,BG,RW,,probablytom
georgedo,eggface,MR,MR,,georgedo
probablytom,CalHaribo,GK,KW,,CalHaribo
ruadh_mor,demander,AH,RW,,demander
apropos0,alan,GW,KR,,alan
Ellen,ruadh_mor,RW,HK,,Ellen
CalHaribo,Ellen,GH,RW,,CalHaribo
ruadh_mor,cptKav,HK,HK,,ruadh_mor
apropos0,cptKav,BW,GK,,cptKav
Paulverise,Etess,HK,AG,,Etess
Paulverise,creilly2,AR,AR,,Paulverise
ruadh_mor,CalHaribo,HK,HW,,CalHaribo
Etess,Paulverise,AG,RW,,Etess
Paulverise,ruadh_mor,AR,HK,,ruadh_mor
Etess,Marta,AM,BW,,Etess
Marta,ruadh_mor,AH,KR,,Marta
ruadh_mor,Paulverise,HK,BR,,ruadh_mor
Paulverise,Etess,BH,AG,,Etess
Paulverise,ruadh_mor,BK,KW,,Paulverise
Paulverise,ruadh_mor,BM,HK,,Paulverise
ruadh_mor,Paulverise,HK,HM,,Paulverise
Etess,ruadh_mor,AG,HK,,Etess
apropos0,LewisDyer,MW,KR,,apropos0
sidb,Etess,BH,AB,,Etess
Etess,sidb,AG,KM,,sidb
Etess,probablytom,AB,GR,,Etess
demander,alan,MR,KR,,alan
Ellen,creilly2,GR,KR,,creilly2
LewisDyer,creilly2,AH,AK,,LewisDyer
creilly2,creilly1,AR,AK,,creilly1
creilly2,Ellen,KR,GR,,creilly2
Rarno,Ellen,HR,MR,,Rarno
Rarno,creilly1,HR,AR,,creilly1
Rarno,LewisDyer,HR,RW,,LewisDyer
creilly1,Ellen,AR,MR,,Ellen
creilly2,creilly1,AK,AR,,creilly2
creilly1,TheMaster,AR,AH,,creilly1
creilly2,creilly1,KR,AR,,creilly1
probablytom,creilly2,BK,AK,,probablytom
Ellen,TheMaster,KR,AH,,TheMaster
TheMaster,Rarno,AH,KR,,TheMaster
Rarno,TheMaster,AK,AH,,Rarno
TheMaster,creilly2,HK,AK,,TheMaster
TheMaster,creilly2,AH,AR,,TheMaster
LewisDyer,Etess,HK,AG,,Etess
Rarno,Etess,RW,AG,,Etess
georgedo,cptKav,MR,BG,,georgedo
Rarno,TheMaster,BW,AH,,TheMaster
Etess,Rarno,AG,MR,,Rarno
Rarno,Cm83,RW,AK,,Cm83
Etess,Rarno,AG,BH,,Etess
Rarno,Etess,MR,AG,,Rarno
Rarno,Etess,MR,GR,,Etess
Etess,Rarno,AG,MR,,Rarno
Rarno,Kjreid,MR,HK,,Rarno
DoctorW,Ellen,BR,GR,,Ellen
DoctorW,ruadh_mor,BR,HK,,ruadh_mor
Rarno,DoctorW,MR,MR,,Rarno
Rarno,LewisDyer,RW,HW,,Rarno
Rarno,DoctorW,MR,BR,,Rarno
Ellen,creilly1,RW,AR,,Ellen
Sabotage,Etess,HM,AB,,Etess
sidb,DoctorW,BW,MR,,DoctorW
creilly1,Ellen,AH,MR,,creilly1
ruadh_mor,creilly2,HK,KR,,ruadh_mor
creilly2,creilly1,AR,HR,,creilly2
georgedo,Ellen,MR,RW,,Ellen
TheMaster,Rarno,HK,MR,,TheMaster
LewisDyer,creilly1,BW,AR,,creilly1
creilly1,creilly2,AW,HR,,creilly1
apropos0,Frp97,RW,KW,,Frp97
apropos0,Frp97,GW,BW,,apropos0
Paulverise,JoeExotic,AR,AH,,JoeExotic
apropos0,Paulverise,KW,BM,,Paulverise
TheMaster,Suzs,AH,KR,,TheMaster
apropos0,Paulverise,RW,BM,,apropos0
Paulverise,apropos0,KM,BW,,Paulverise
creilly1,Paulverise,BW,BM,,Paulverise
Paulverise,apropos0,BM,RW,,apropos0
apropos0,Paulverise,BW,BM,,Paulverise
TheMaster,creilly2,KR,HK,,TheMaster
creilly1,Suzs,AW,AK,,Suzs
TheMaster,Suzs,AR,HR,,TheMaster
apropos0,Paulverise,GW,BM,,Paulverise
Sabotage,Ellen,HM,GR,,Ellen
probablytom,Sabotage,AW,HM,,Sabotage
creilly2,probablytom,HR,MW,,probablytom
creilly2,creilly1,RW,MW,,creilly2
creilly2,creilly1,RW,BM,,creilly1
cptKav,apropos0,BH,BW,,apropos0
DoctorW,LewisDyer,BR,AH,,DoctorW
CalHaribo,Marta,BG,BM,,CalHaribo
creilly2,probablytom,RW,GR,,probablytom
Rarno,Etess,MR,GR,,Rarno
Ellen,Marta,MR,BM,,Marta
Sabotage,creilly2,GM,BW,,Sabotage
superrad,Ellen,AR,AR,,superrad
creilly2,probablytom,BW,MR,,probablytom
Marta,LewisDyer,AB,HR,,LewisDyer
sidb,creilly2,GM,BW,,creilly2
sidb,creilly2,GR,AW,,creilly2
cptKav,Marta,MW,GM,,cptKav
Marta,sidb,BM,GR,,sidb
Sabotage,creilly1,GM,GM,,Sabotage
Marta,Alliyana,AH,AK,,Marta
sidb,Alliyana,GR,AR,,sidb
Ellen,creilly1,GM,GM,,creilly1
cptKav,ruadh_mor,HW,KR,,cptKav
creilly1,Alliyana,AW,AK,,creilly1
ECDr,Marta,AR,AB,,Marta
sidb,cptKav,GR,AB,,sidb
Ellen,cute320215,MR,KR,,cute320215
Sabotage,Ellen,GM,RW,,Ellen
LewisDyer,CalHaribo,AH,GH,,LewisDyer
creilly2,creilly1,MR,BM,,creilly2
creilly1,creilly2,GM,GW,,creilly1
apropos0,cptKav,BW,BR,,apropos0
creilly1,Nari,MW,HK,,creilly1
creilly2,creilly1,MR,GM,,creilly2
creilly2,tanini,MR,AR,,creilly2
tanini,creilly2,AR,GW,,creilly2
ruadh_mor,Etess,HK,AG,,Etess
tanini,creilly2,AR,HR,,creilly2
tanini,creilly2,HR,BW,,tanini
Nari,tanini,HK,HR,,Nari
Nari,tanini,HK,AW,,Nari
Nari,tanini,AH,BW,,tanini
creilly2,tanini,RW,KW,,tanini
Nari,tanini,HK,MW,,tanini
Nari,tanini,HR,GM,,Nari
tanini,creilly2,BM,BM,,tanini
tanini,creilly2,BM,MR,,creilly2
tanini,creilly2,BM,MR,,tanini
tanini,creilly2,BM,GW,,tanini
tanini,Nari,BM,KW,,Nari
tanini,creilly2,BM,BW,,tanini
sidb,tanini,GR,BM,,sidb
tanini,Sabotage,AR,GM,,Sabotage
sidb,Sabotage,GR,GM,,Sabotage
tanini,creilly2,GM,GW,,tanini
tanini,dalinar,MR,AK,,tanini
tanini,dalinar,KR,AH,,tanini
dalinar,tanini,AR,HR,,tanini
tanini,creilly2,GM,BW,,tanini
dalinar,tanini,RW,AR,,dalinar
Sabotage,Gerr,HM,RW,,Sabotage
dalinar,tanini,RW,RW,,tanini
dalinar,tanini,RW,BW,,dalinar
dalinar,tanini,BW,BW,,tanini
dalinar,tanini,MR,BW,,dalinar
dalinar,tanini,GR,BM,,dalinar
dalinar,tanini,GW,GM,,tanini
tanini,creilly2,BM,MR,,creilly2
dalinar,tanini,GR,GM,,tanini
dalinar,tanini,MR,GM,,tanini
tanini,creilly2,GM,MR,,creilly2
dalinar,tanini,GW,GM,,tanini
dalinar,tanini,RW,BM,,dalinar
tanini,creilly2,BM,MR,,creilly2
cats,Gerr,KW,MR,,cats
tanini,creilly2,GM,MR,,tanini
tanini,creilly2,BM,MR,,tanini
creilly2,tanini,BW,GM,,creilly2
creilly2,tanini,RW,BM,,creilly2
creilly2,tanini,RW,MW,,tanini
creilly2,tanini,GW,BM,,tanini
ECDr,Etess,AR,AG,,Etess
tanini,creilly2,MW,AB,,tanini
Beth,Etess,HK,AB,,Etess
ECDr,Beth,HR,MW,,ECDr
Mando,Ellen,AK,RW,,Ellen
Alliyana,cptKav,AR,KR,,Alliyana
Kjreid,Cm83,AH,HK,,Kjreid
LewisDyer,cute320215,HR,KR,,cute320215
Shanys,l17r,HR,KR,,Shanys
l17r,astrospanner,HK,AR,,astrospanner
astrospanner,cats,AR,BK,,cats
Ellen,astrospanner,AR,AR,,astrospanner
cats,l17r,BK,AH,,l17r
Ellen,Sabotage,AR,GM,,Ellen
astrospanner,l17r,AH,AH,,l17r
astrospanner,cats,AH,KM,,cats
ECDr,Alliyana,AR,AK,,Alliyana
Shanys,ECDr,HR,AR,,ECDr
l17r,Sabotage,AH,GM,,l17r
ECDr,Ellen,AR,RW,,Ellen
ECDr,Ellen,KR,RW,,ECDr
apropos0,Paulverise,GW,BM,,apropos0
Paulverise,apropos0,BM,BW,,Paulverise
apropos0,ECDr,GW,AH,,apropos0
ECDr,l17r,RW,AH,,l17r
ECDr,l17r,AR,AH,,l17r
ECDr,cptKav,AH,BM,,ECDr
Paulverise,alan,MR,KR,,Paulverise
cptKav,alan,AK,KR,,cptKav
l17r,ECDr,AW,BR,,l17r
Kjreid,Sabotage,AK,GM,,Sabotage
creilly1,ECDr,BM,HM,,creilly1
Kjreid,ruadh_mor,AK,AH,,Kjreid
cute320215,creilly1,KR,GM,,creilly1
cute320215,LewisDyer,AR,HM,,LewisDyer
alan,CalHaribo,KR,GH,,alan
Alliyana,ruadh_mor,AH,HK,,ruadh_mor
cptKav,TheMaster,KR,AH,,TheMaster
probablytom,Paddy,RW,AK,,Paddy
probablytom,creilly1,RW,GW,,probablytom
Alliyana,creilly1,AW,HM,,creilly1
creilly1,cptKav,GM,MW,,creilly1
creilly1,ruadh_beag,AM,HK,,creilly1
cute320215,creilly2,KR,MR,,cute320215
tanini,creilly2,GM,AB,,creilly2
ECDr,ruadh_mor,MR,HK,,ruadh_mor
tanini,creilly2,BM,RW,,creilly2
tanini,creilly2,MW,RW,,creilly2
creilly2,Ellen,BW,RW,,creilly2
tanini,creilly2,BM,RW,,creilly2
tanini,Nari,BM,BH,,Nari
ruadh_mor,Nari,HK,HK,,Nari
Ellen,Nari,RW,BH,,Nari
Nari,ruadh_mor,MW,HK,,Nari
tanini,creilly2,BH,RW,,tanini
Nari,cptKav,AK,BR,,Nari
Nari,Etess,HK,AG,,Nari
tanini,dalinar,GM,MR,,tanini
dalinar,tanini,GR,BH,,dalinar
dalinar,tanini,AG,GM,,tanini
dalinar,tanini,AR,GM,,tanini
Nari,l17r,MW,AH,,l17r
dalinar,tanini,GR,BG,,dalinar
Beth,Sabotage,GK,GM,,Sabotage
JoeExotic,creilly1,AH,KM,,creilly1
Alliyana,cptKav,AR,MW,,Alliyana
astrospanner,l17r,AR,AH,,l17r
Ellen,cptKav,RW,BR,,Ellen
CalHaribo,Kjreid,HR,AK,,CalHaribo
Paddy,EarlofSurl,KR,AH,,EarlofSurl
Gerr,Ellen,RW,GM,,Gerr
LewisDyer,cptKav,AW,MR,,cptKav
Nari,Ellen,MW,MR,,Ellen
Ellen,Gerr,MR,RW,,Gerr
JoeExotic,EarlofSurl,AH,AH,,EarlofSurl
Ellen,EarlofSurl,RW,AK,,EarlofSurl
Kjreid,creilly1,KR,GM,,Kjreid
ECDr,Ellen,RW,MR,,Ellen
creilly2,Paddy,RW,AK,,Paddy
norgart,creilly1,KR,GM,,creilly1
EarlofSurl,ECDr,AK,GR,,EarlofSurl
ECDr,EarlofSurl,MR,KR,,ECDr
norgart,ECDr,AK,MR,,ECDr
EarlofSurl,cptKav,AH,AR,,cptKav
dalinar,Nari,RW,HK,,Nari
norgart,pigeon,KR,AK,,pigeon
LewisDyer,creilly1,AB,AM,,LewisDyer
creilly1,Ellen,GM,RW,,Ellen
Nari,l17r,HK,AB,,l17r
l17r,Ellen,AH,RW,,Ellen
EarlofSurl,l17r,AR,AH,,l17r
creilly1,Ellen,AM,RW,,creilly1
pigeon,EarlofSurl,AK,KW,,pigeon
cptKav,Paddy,AG,AK,,Paddy
creilly1,Elessar,BG,KR,,creilly1
l17r,EarlofSurl,AM,AR,,l17r
pigeon,Ellen,HK,RW,,Ellen
EarlofSurl,Ellen,BK,MW,,Ellen
Ellen,EarlofSurl,GW,KW,,Ellen
creilly1,Ellen,AM,MW,,Ellen
pigeon,EarlofSurl,HK,KW,,EarlofSurl
EarlofSurl,creilly1,MW,GM,,creilly1
Alliyana,EarlofSurl,BM,MW,,EarlofSurl
cats,astrospanner,KM,AK,,astrospanner
Beth,Alliyana,AM,BR,,Alliyana
EarlofSurl,Nari,GW,HK,,EarlofSurl
l17r,cptKav,AW,BG,,cptKav
EarlofSurl,cptKav,AB,BM,,EarlofSurl
ECDr,apropos0,RW,BW,,apropos0
creilly2,tanini,BM,BG,,tanini
l17r,Frp97,AH,HM,,l17r
creilly1,cats,AM,GK,,cats
ECDr,bladestoe,GR,KR,,bladestoe
EarlofSurl,ECDr,KW,MR,,EarlofSurl
creilly1,pigeon,GM,HK,,creilly1
bladestoe,ECDr,HR,MR,,ECDr
EarlofSurl,ECDr,GW,MR,,EarlofSurl
ECDr,bladestoe,MR,AR,,ECDr
Beth,bladestoe,BR,AR,,Beth
creilly2,cptKav,RW,KR,,creilly2
pigeon,bladestoe,HK,AR,,pigeon
TheMaster,Mando,AH,AK,,TheMaster
bladestoe,versatile,RW,HK,,versatile
versatile,bladestoe,KR,RW,,bladestoe
Beth,EarlofSurl,HK,GW,,Beth
Alliyana,EarlofSurl,BG,GW,,EarlofSurl
EarlofSurl,Alliyana,GW,BR,,EarlofSurl
EarlofSurl,Elessar,GW,AR,,EarlofSurl
cptKav,versatile,AK,HK,,cptKav
Ellen,bladestoe,MW,BR,,bladestoe
bladestoe,Alliyana,BR,MR,,Alliyana
versatile,bladestoe,AK,MR,,versatile
Ellen,versatile,MR,AH,,Ellen
versatile,Ellen,RW,RW,,Ellen
Ellen,versatile,MW,BK,,versatile
versatile,Alliyana,RW,MR,,Alliyana
creilly1,bladestoe,GM,AR,,bladestoe
EarlofSurl,pigeon,BG,HK,,EarlofSurl
pigeon,EarlofSurl,HR,GW,,EarlofSurl
pigeon,EarlofSurl,KW,GW,,EarlofSurl
bladestoe,versatile,GR,MR,,versatile
bladestoe,asdf,GR,KR,,asdf
asdf,bladestoe,AK,GM,,bladestoe
bladestoe,asdf,GR,KR,,asdf
asdf,bladestoe,HK,BM,,bladestoe
asdf,versatile,KR,MR,,versatile
tanini,creilly2,BR,AW,,tanini
tanini,creilly2,BG,MR,,creilly2
ECDr,bladestoe,KM,RW,,bladestoe
versatile,asdf,GM,KR,,asdf
LewisDyer,ruadh_mor,AH,HK,,ruadh_mor
versatile,cptKav,MR,GW,,cptKav
creilly1,ruadh_beag,KM,HK,,ruadh_beag
tanini,creilly2,BG,AB,,creilly2
versatile,asdf,MR,KR,,versatile
Nari,cptKav,KM,HK,,cptKav
asdf,versatile,AK,MR,,versatile
cptKav,asdf,AH,KW,,cptKav
asdf,cptKav,KR,KW,,asdf
creilly2,asdf,GW,KR,,creilly2
asdf,versatile,BK,BH,,asdf
bladestoe,ruadh_beag,MR,HK,,bladestoe
creilly2,asdf,MR,HK,,asdf
Alliyana,versatile,MR,MR,,versatile
pigeon,EarlofSurl,AB,GW,,pigeon
